Ví |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ví | Thực tế | Thu | Chi |  |  |  |  |  |  |  |  |  |  | 
Tổng | 137196288.0 | 2535611390.0 | -2398415102.0 |  |  |  |  |  |  |  |  |  |  | 
Cash | 4782000.0 | 7000000.0 | -2218000.0 |  |  |  |  |  |  |  |  |  |  | 
Bank | 133916032.0 | 2528611390.0 | -2394695358.0 |  |  |  |  |  |  |  |  |  |  | 
Credit | -1501744.0 | 0.0 | -1501744.0 |  |  |  |  |  |  |  |  |  |  | 
Chưa phân loại | 0.0 | 0.0 | 0.0 |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Danh mục Cha | Danh mục Con | Thực tế | Thu | Chi |  | Đối tượng | Thực tế | Thu | Chi |  | Danh mục Cha | Thực tế | Thu | Chi
Tổng |  | 137196288.0 | 2535611390.0 | -2398415102.0 |  | Tổng | 137196288.0 | 2535611390.0 | -2398415102.0 |  | Tổng | 137196288.0 | 2535611390.0 | -2398415102.0
Ăn uống | Ăn sáng | -482000.0 | 0.0 | -482000.0 |  | BSX Mạnh Vấn | 875000000.0 | 875000000.0 | 0.0 |  | Ăn uống | -4536240.0 | 0.0 | -4536240.0
Ăn uống | Ăn trưa | -1163000.0 | 0.0 | -1163000.0 |  | BSX Linh Đỗ | 523100000.0 | 523100000.0 | 0.0 |  | Công việc | 163396048.0 | 2535611390.0 | -2372215342.0
Ăn uống | Ăn tối | -2263240.0 | 0.0 | -2263240.0 |  | Minh Nghĩa | 532400000.0 | 532400000.0 | 0.0 |  | Nhà | -1251776.0 | 0.0 | -1251776.0
Ăn uống | Cafe | -628000.0 | 0.0 | -628000.0 |  | Chinrin | 195000000.0 | 195000000.0 | 0.0 |  | Đi lại | -859000.0 | 0.0 | -859000.0
Quà tặng | Quà tặng | -1501744.0 | 0.0 | -1501744.0 |  | Phạm Store | 138000000.0 | 138000000.0 | 0.0 |  | Giải trí | -16347000.0 | 0.0 | -16347000.0
 |  |  |  |  |  | Ngân Nguyễn 95 | 82630000.0 | 82630000.0 | 0.0 |  | Shoping | -1704000.0 | 0.0 | -1704000.0
Nhà | Phí quản lý | 0.0 | 0.0 | 0.0 |  | Tuấn Tài Chính SG | 67200000.0 | 72200000.0 | -5000000.0 |  | Quà tặng | -1501744.0 | 0.0 | -1501744.0
Nhà | Điện nước | 0.0 | 0.0 | 0.0 |  | Khách lẻ | 49906390.0 | 49906390.0 | 0.0 |  | Chưa phân loại | 0.0 | 0.0 | 0.0
Nhà | Vé xe | 0.0 | 0.0 | 0.0 |  | Long Táo | 50000000.0 | 50000000.0 | 0.0 |  |  |  |  | 
Nhà | Mua sắm | -1251776.0 | 0.0 | -1251776.0 |  | Sơn Híp | 14375000.0 | 14375000.0 | 0.0 |  |  |  |  | 
Công việc | ADS | 163385045.0 | 2535521390.0 | -2372136345.0 |  | Bạn bè | 0.0 | 0.0 | 0.0 |  |  |  |  | 
Công việc | Tài khoản | 11003.0 | 90000.0 | -78997.0 |  | Củ Lạc | 0.0 | 0.0 | 0.0 |  |  |  |  | 
Công việc | Lái xe | 0.0 | 0.0 | 0.0 |  | Gia đình | -37000.0 | 0.0 | -37000.0 |  |  |  |  | 
Công việc | Khác | 0.0 | 0.0 | 0.0 |  | Chưa phân loại | 0.0 | 0.0 | 0.0 |  |  |  |  | 
Giải trí | Giải trí | -16347000.0 | 0.0 | -16347000.0 |  | FE04 | -29326516.0 | 0.0 | -29326516.0 |  |  |  |  | 
Đi lại | Xăng xe | -590000.0 | 0.0 | -590000.0 |  | Couple | -9856984.0 | 0.0 | -9856984.0 |  |  |  |  | 
Đi lại | Grab | -269000.0 | 0.0 | -269000.0 |  | Bản thân | -16384773.0 | 0.0 | -16384773.0 |  |  |  |  | 
Đi lại | Taxi | 0.0 | 0.0 | 0.0 |  | Jeno 04 | 0.0 | 0.0 | 0.0 |  |  |  |  | 
Shoping | Làm đẹp | -1704000.0 | 0.0 | -1704000.0 |  | Suri GNS 2024 | -46602645.0 | 0.0 | -46602645.0 |  |  |  |  | 
Shoping | Shopee | 0.0 | 0.0 | 0.0 |  | HOCI 07/25 | -122262121.0 | 0.0 | -122262121.0 |  |  |  |  | 
Shoping | Lazada | 0.0 | 0.0 | 0.0 |  | ADS Momx 04 | -187599077.0 | 0.0 | -187599077.0 |  |  |  |  | 
Chưa phân loại | Chưa phân loại | 0.0 | 0.0 | 0.0 |  | MTM 003 | -150186548.0 | 0.0 | -150186548.0 |  |  |  |  | 
 |  |  |  |  |  | Jeno 03 | -162007015.0 | 0.0 | -162007015.0 |  |  |  |  | 
 |  |  |  |  |  | FE02 | -173591939.0 | 0.0 | -173591939.0 |  |  |  |  | 
 |  |  |  |  |  | MTM 004 | -273577339.0 | 0.0 | -273577339.0 |  |  |  |  | 
 |  |  |  |  |  | MTM 005 | -209139260.0 | 0.0 | -209139260.0 |  |  |  |  | 
 |  |  |  |  |  | ADS Momx 03 | -295294324.0 | 0.0 | -295294324.0 |  |  |  |  | 
 |  |  |  |  |  | Jeno 01 | -314523347.0 | 0.0 | -314523347.0 |  |  |  |  | 
