Chủ Đề Mail,Ghi chú sẽ điền,Nguồn tiền,Đối tượng,Danh Mục Con
1386317845729880,ADS FE02,Bank,FE02,ADS
1570942317581016,ADS Momx 03,Bank,ADS Momx 03,ADS
1771957883397651,ADS Momx 04,Bank,ADS Momx 04,ADS
1629367694909727,ADS Jeno 01,Bank,Jeno 01,ADS
907678055471746,MTM 003,Bank,MTM 003,ADS
3988917268073085,MTM 006,Bank,MTM 006,ADS
913920818340153,,Bank,Jeno 03,ADS
587114257525903,,Bank,HOCI 07/25,ADS
2153091822222968,,Bank,MTM 005,ADS
927847176756910,,Bank,MTM 004,ADS
687620569240278,,Bank,Suri GNS 2024,ADS
1380758639667220,,Bank,FE04,ADS
2066926814197436,,Bank,Hoci 005,ADS
1069393482604132,,Bank,Hoci 006,ADS
975660831524554,,Bank,MTM 007,ADS
